Name,SaxoId,WpId,Boten
6642130102000380272,20204140,2259,"DamesTopC4+,Bøunce,DTal4* 17,Eerstejaars Lichte Dames 2018,Middengroep Lichte Dames,Heren Clubvier - Gerstekracht"
-1102354950273236185,20204146,2115,Knørrig
1321629486119246305,20204148,2264,Tøga
7137395065946390357,20204152,2218,"Øl Brødre,Komt Gøed,STRIJDLØSTIG,BIGGØN"
-403833623220953461,20204155,2348,Støømboot
-5584375741112515614,20204157,2347,"Eerstejaars Licht 2017,Oud Licht,Ouderejaars Dames"
-4285250441074126388,20204158,2163,"Knørrig,HTal8+ '17,Eerstejaars Licht 2018,HCL8+,Eerstejaars Zwaar"
-5276626391588757711,20204159,2116,"Øl Brødre,STRIJDLØSTIG"
7355008805671772191,20204162,2139,"Herenclubacht,Crescendø,DCL8+"
-8636845946882604311,20204167,2343,"Ouderejaars Zwaar 2017,Ouderejaars Zwaar,Ouderejaars Heren,Oude Vier"
675577460220503832,20204170,2298,"2CØØL4SKØØL,De Førmule,ØØGAPPELTJES,Niteø"
-5922149170439664460,20204172,2228,"Les Désølées,Herenclubacht,Middengroep Dames,Eerstejaars Licht,DubbelTweeling,Ouderejaars Dames,Sløøpkøgel,Tøtal løss"
-7715016379977747588,20204178,2153,"DamesTopC4+,DTal4* 17,Eerstejaars Lichte Dames 2018,Duurt te lang,Øude Wijfies,Dames Clubdubbelvier"
4234684366234379093,20204186,2250,"Blikken en bløzen,Førtuna,BØØT,V∅∅RUIT,Dames Project 8+"
-4341477987724204430,20204187,2203,"DamesTopC4+,DTopC4+,Jøt & Jøl (2.0),Dames Talenten 8+,Eerstejaars Dames,Middengroep Dames,Heren Clubvier - Gerstekracht"
-1162666117984785350,20204188,2137,"Anacønda,Heren TopC4+"
-4233374216628593908,20204189,2333,"Taørt,Middengrøep Gayns,Dtal8+ '17,HCl8+,Mørmaids,Middengroep Zwaar,Duurt te lang,Eerstejaars Lichte Dames,Sløøpkøgel,Eerstejaars Licht"
-3738510856758272780,20204190,2184,"DamesTopC4+,Ønvøldøende,Kørt maar krachtig,Jøt & Jøl (2.0),(on)Vøldøende,Heren Talenten 8+,Duurt te lang,Eerstejaars Licht"
961769814613916381,20204194,2242,"Taørt,Willekørig,VAMØS,Mørmaids,BØØT,HCL8+"
2766470793977209091,20204199,2199,"Peddøls,Peddøls 2018"
367807618353802100,20204202,2349,"DamesTopC4+,Møartens Angels,ØL ER GULL,Støei,Duurt te lang,ØDØL ER GULL,Veløcità"
-5273185638190402526,20204208,2243,"Tøny,Drøwning,ØK,Drøwning 2.0,Heren TopC4+"
-1296855127814994013,20204211,2220,"Herenclubacht,Heren Talenten 8+"
-5457669215013546812,20204223,2319,"Blikken en bløzen,BØØT"
-8280357241796045986,20204232,2129,"Taørt,Vaar-Wel,Mørmaids,Bøatycall"
-3741974614837596927,20204237,2330,"Eerstejaars Licht 2017,Heren Talenten 8+,Middengroep Zwaar"
-6168384363857588405,20204239,2074,"DamesTopC4+,DTal4* 17,Eerstejaars Lichte Dames 2018,Middengroep Lichte Dames,Ouderejaars Dames,Tøtal Løss"
5280696039509368179,20204268,2370,"HerenTopC4+,HTal8+ '17,HCl8+,DTOPC4+,Tijgørs,Heren Project 8+ (TopCv\'acht),Dames TopC4+,Eerstejaars Licht"
-718488107873826856,20204270,2219,Eerstejaars Licht 2017
933246744328204828,20204273,2268,"Blikken en bløzen,Dtal8+ '17,Eerstejaars Dames 2018,Førtuna,Middengroep Dames,Eerstejaars Licht"
-3137699485286469272,20204275,2323,"Brøwmance,Bløf,Kanthari,Badkuip"
-1002021018327502842,20204276,2334,"Eerstejaars Zwaar 2017,Middengroep Zwaar"
4074019488554589134,20204277,2075,"Øl Brødre,STRIJDLØSTIG"
576113199175151696,20204293,2145,"Taørt,VAMØS,Eerstejaars Lichte Dames,DCl4*,Dames Clubdubbelvier"
4347063462138272812,20204311,2225,"DamesTopC4+,Dtal8+ '17,Eerstejaars Dames 2018,DCL8+,Middengroep Dames,Ouderejaars Dames"
-407135979418028227,20204312,2190,"DamesTopC4+,Jøt & Jøl (2.0),Duurt te lang,Øude Wijfies"
8670622763918910613,20204316,2093,"De Daltøns,Lørelei"
2419926912756193488,20204319,2156,"STERRENSTØF,Dames Talenten 4*,Eerstejaars Lichte Dames"
-6448726572174931385,20204323,2107,"De Daltøns,Lørelei"
4996988250491555170,20204326,2085,"Eerstejaars Zwaar 2017,Middengroep Zwaar,Verløren Jøngens,Eerstejaars Zwaar"
-8695115489987773855,20204332,2206,"Røstagh,Dtal8+ '17,Eerstejaars Dames 2018,Middengroep Dames,Heren Clubacht"
6271484777933142444,20204333,2344,"Herenclubacht,Crescendø,Eerstejaars Zwaar 2018,Ouderejaars Heren"
2106387833047837889,20204334,2246,"Eerstejaars Licht 2017,DCl8+,Drøwning 2.0,Team crul,Z Paraguas"
5301751593486631435,20204340,2073,"Anacønda,Row your Goat,Dames Talenten 4*"
-6711034898124579036,20204341,2132,"Øl Brødre,Komt Gøed,Twørk,Vønk,Badkuip"
-1810281928268020325,20204351,2311,"Tøga,ØK"
-7621542662478528036,20204353,2379,"Eerstejaars Lichte Dames 2017,Eerstejaars Lichte Dames 2018,Dames Talenten 4*,Middengroep Zwaar,Middengroep Lichte Dames "
-8583545736623511480,20204363,2387,"De Daltøns,Ship of Fools,DTopC4+,VAMØS,Winston Oba,Roy Koelman"
5833425136972930791,20204369,2406,"Drøwning,Te Drøk,Drøwning 2.0,Prøminent,RoeienMetDeRiemenDieJeHebt"
2315696318465952306,20204370,2453,"HTopC4+,HØUDØE,DTOPC4+,Cøølman,Heren TopC4+"
-997498656555219172,20204371,2399,"Drøwning,LØWINNEN,Te Drøk,Drøwning 2.0,Prøminent"
6960272181444081428,20204372,2426,"Bløf,DTal4* 17,Kanthari,Badkuip,Dames Talenten 4*,Eerstejaars Lichte Dames"
2568807522737722661,20204374,2436,"Pøah,HTal8+ '17,Eerstejaars Zwaar 2018,Middengroep Zwaar,Ouderejaars Heren"
4549936900642527660,20204376,2429,"Komt Gøed,ØDØL,Snøøkies,VRØØM,HØYE"
7568266331164113143,20204378,2447,"Bløf,Kanthari"
3262949209763399036,20204380,2458,"Crescendø,DCl8+,Krøkø,Dames Talenten 8+"
-6015759076441642525,20204384,2438,"Lekkør,Døry,Vløg,Veløcità"
-1384445098747215779,20204398,2431,"Røring,Nemø,Vløg,HTOPC4+"
